,lat,city,temp_max,humidity,wind,cloudiness,Date,country
284,-39.64,panguipulli,44.6,52.0,5.82,0.0,1567476052.0,CL
285,45.06,hantsport,69.01,88.0,3.36,90.0,1567476057.0,CA
286,41.28,poum,60.8,82.0,3.36,75.0,1567476062.0,MK
287,1.68,dumai,81.89,79.0,2.59,100.0,1567476068.0,ID
288,65.42,maniitsoq,42.65,72.0,15.5,76.0,1567476073.0,GL
289,7.04,kloulklubed,84.2,79.0,17.22,90.0,1567476078.0,PW
290,63.84,grindavik,42.8,81.0,11.41,0.0,1567476083.0,IS
291,,chagda,,,,,,
292,-3.31,amahai,76.31,85.0,10.33,86.0,1567476094.0,ID
293,28.66,los llanos de aridane,69.8,64.0,6.93,0.0,1567476099.0,ES
294,-34.0,kruisfontein,50.21,80.0,6.96,0.0,1567476104.0,ZA
295,40.36,belmonte,77.0,53.0,5.77,0.0,1567476110.0,PT
296,-9.87,alta floresta,83.87,32.0,3.27,79.0,1567476115.0,BR
297,,marcona,,,,,,
298,30.85,camalu,71.63,78.0,5.03,0.0,1567476125.0,MX
299,56.76,sovetskiy,44.45,92.0,6.93,0.0,1567476130.0,RU
300,63.75,iqaluit,39.2,86.0,3.36,20.0,1567476136.0,CA
301,47.91,grand forks,59.0,100.0,4.7,1.0,1567475888.0,US
302,-32.25,kwinana,66.0,59.0,10.29,40.0,1567476146.0,AU
303,1.17,pallisa,67.31,90.0,0.81,100.0,1567476151.0,UG
304,-2.57,kavieng,82.97,75.0,8.68,30.0,1567476114.0,PG
305,-5.62,mongo,68.75,84.0,4.23,6.0,1567476161.0,CD
306,47.92,ulaanbaatar,68.0,42.0,2.24,0.0,1567476167.0,MN
307,45.63,saint-augustin,64.4,88.0,2.24,75.0,1567476172.0,CA
308,,akkudah,,,,,,
309,13.22,bathsheba,82.4,74.0,14.99,20.0,1567476135.0,BB
310,,bor,,,,,,
311,41.14,westport,72.0,83.0,5.82,90.0,1567476192.0,US
312,,maimon,,,,,,
313,13.18,gunjur,75.2,94.0,3.36,40.0,1567476203.0,GM
314,41.53,milkovo,66.2,45.0,10.29,58.0,1567476208.0,BG
315,60.14,nanortalik,40.49,91.0,1.48,67.0,1567476213.0,GL
316,-6.13,soyo,71.99,85.0,10.07,0.0,1567476065.0,AO
317,15.86,puerto escondido,86.0,70.0,8.05,90.0,1567476161.0,MX
318,-7.95,bambanglipuro,75.05,78.0,13.51,100.0,1567476063.0,ID
319,43.32,nemuro,75.2,47.0,11.41,40.0,1567476234.0,JP
320,-5.35,luebo,72.89,85.0,1.66,80.0,1567476239.0,CD
321,,samusu,,,,,,
322,53.66,buguruslan,46.25,88.0,5.7,54.0,1567476250.0,RU
323,62.1,berdigestyakh,57.77,83.0,1.1,100.0,1567476255.0,RU
324,16.38,champerico,80.6,54.0,10.29,40.0,1567476066.0,MX
325,-34.18,mildura,75.0,35.0,9.17,0.0,1567476265.0,AU
326,66.15,pangnirtung,39.23,95.0,3.6,100.0,1567476270.0,CA
327,46.68,baruun-urt,77.39,32.0,14.72,97.0,1567476276.0,MN
328,-8.28,tamandare,76.49,72.0,1.86,23.0,1567476281.0,BR
329,-13.68,ambanja,76.85,76.0,2.91,23.0,1567476286.0,MG
330,,umzimvubu,,,,,,
331,35.74,nishihara,86.0,83.0,6.93,75.0,1567476296.0,JP
332,,longlac,,,,,,
333,52.37,bogorodskoye,62.99,54.0,11.25,0.0,1567476270.0,RU
